year,event_name,stroke,gender,distance,meet,school,swimmer_name,round,fastest_time_sec,fastest_time_format
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Amherst,"Lang, Russell",Final,53.09,53.09
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Bates,"Legault, Craig",Final,54.55,54.55
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Bowdoin,"Shaw, Andy",Final,56.07,56.07
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Colby,"Goodman, Al",Final,55.79,55.79
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Hamilton,"Schwenker, Eric",Final,51.45,51.45
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Middlebury,"Strickler, Scott",Prelim,52.38,52.38
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Trinity,"DeRosa, Matt J",Final,55.87,55.87
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Tufts,"Meyers, Jamie",Final,55.6,55.60
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Wesleyan,"Smith, Ian",Prelim,55.96,55.96
2002,100_Backstroke,Backstroke,Men,100,2002_Nescac_Msd_Results,Williams,"Gamblin, Todd",Final,54.93,54.93
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Amherst,"Pohorylo, Mike",Final,57.34,57.34
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Bates,"Hseng, Sao Ohn",Final,60.47,1:00.47
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Bowdoin,"Driskill, Nick",Final,58.74,58.74
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Colby,"Eck, Jonathan",Final,56.98,56.98&
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Connecticut College,"Sayre, Joe",Prelim,59.28,59.28
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Hamilton,"Cecere, David",Final,58.1,58.10
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Middlebury,"Malloy, Mike",Final,59.84,59.84
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Tufts,"Rochette, Mike",Final,61.01,1:01.01
2002,100_Breaststroke,Breaststroke,Men,100,2002_Nescac_Msd_Results,Wesleyan,"Blondin, Nick",Final,62.94,1:02.94
